Year,Month,Day,Hour,Wave_Height,Wave_Dir,Wave_Period
2005,4,7,21,6.05,11.62,349.37
2005,4,8,0,6.42,11.4,351.17
2005,4,8,3,6.39,11.25,351.19
2005,4,8,6,6.19,11.13,350.75
2005,4,8,9,6.12,11.03,349.55
2005,4,8,12,6.21,10.97,348.47
2005,4,8,15,5.99,10.91,348.4
2005,4,8,18,5.39,10.87,349.26
2005,4,8,21,4.83,10.73,350.03
2005,4,9,0,4.4,10.49,350.09
2005,4,9,3,4.05,10.28,345.2
2005,4,9,6,3.7,10.2,344.43
2005,4,9,9,3.32,10.16,342.92
2005,4,9,12,2.94,10.13,341
2005,4,9,15,2.67,10.1,338.81
2005,4,9,18,2.66,10.03,334.9
2005,4,9,21,2.6,9.92,332.53
2005,4,10,0,2.51,9.71,331.71
2005,4,10,3,2.55,9.03,323.01
2005,4,10,6,2.6,8.7,319.46
2005,4,10,9,2.63,8.34,297.41
2005,4,10,12,2.64,8.29,294.96
2005,4,10,15,2.6,8.39,292.66
2005,4,10,18,2.83,8.95,274.18
2005,4,10,21,3.26,7.66,270.47
2005,4,11,0,3.76,8.44,270.52
2005,4,11,3,4.06,8.92,271.75
2005,4,11,6,3.98,9.28,270.18
2005,4,11,9,3.76,9.63,271.89
2005,4,11,12,3.6,9.91,272.17
2005,4,11,15,3.54,10.07,271.72
2005,4,11,18,3.64,10.29,269.17
2005,4,11,21,4.09,9.12,254.21
2005,4,12,0,4.51,9.5,253.33
2005,4,12,3,4.81,10.28,260.89
2005,4,12,6,4.9,10.71,266.4
2005,4,12,9,4.85,10.92,265.7
2005,4,12,12,4.94,10.94,265.32
2005,4,12,15,5.2,10.95,264.79
2005,4,12,18,5.36,10.92,264.69
2005,4,12,21,5.33,10.83,264.9
2005,4,13,0,5.27,10.74,265.98
2005,4,13,3,5.08,10.61,267.33
2005,4,13,6,4.76,10.36,268.41
2005,4,13,9,4.4,10.18,273.5
2005,4,13,12,4.02,10.04,276.76
2005,4,13,15,3.65,9.88,277.05
2005,4,13,18,3.32,9.68,275.09
2005,4,13,21,3.07,9.65,272.49
2005,4,14,0,2.9,9.81,272.03
2005,4,14,3,2.77,9.88,274.56
2005,4,14,6,2.64,9.87,278.62
2005,4,14,9,2.52,9.82,280.81
2005,4,14,12,2.38,9.73,279.33
2005,4,14,15,2.28,8.52,318.05
2005,4,14,18,2.26,8.63,323.04
2005,4,14,21,2.36,9.57,304.14
2005,4,15,0,2.46,9.32,324.27
2005,4,15,3,2.51,9.19,326.32
2005,4,15,6,2.48,9.11,327.21
2005,4,15,9,2.41,9.06,327.39
2005,4,15,12,2.35,9.02,327.35
2005,4,15,15,2.31,9,327.21
2005,4,15,18,2.27,8.97,327.05
2005,4,15,21,2.2,8.88,326.83
2005,4,16,0,2.11,8.71,326.59
2005,4,16,3,2.04,8.4,326.04
2005,4,16,6,1.99,8.24,326.55
2005,4,16,9,2.03,8.13,329.17
2005,4,16,12,2.05,8.02,334.76
2005,4,16,15,2,7.92,342.81
2005,4,16,18,1.94,7.84,342.05
2005,4,16,21,1.85,7.8,349.75
2005,4,17,0,1.76,9.6,12.1
2005,4,17,3,1.66,8.31,9.97
2005,4,17,6,1.56,8.21,12.3
2005,4,17,9,1.5,8,13.83
2005,4,17,12,1.47,14.59,273.34
2005,4,17,15,1.45,14.23,273.5
2005,4,17,18,1.45,13.47,272.08
2005,4,17,21,1.47,13.23,272.16
2005,4,18,0,1.49,13.07,271.71
2005,4,18,3,1.52,12.58,269.53
2005,4,18,6,1.55,12.48,268.89
2005,4,18,9,1.59,12.95,272.49
2005,4,18,12,1.66,13.02,271.58
2005,4,18,15,1.74,12.96,269.92
2005,4,18,18,1.8,7.59,74.73
2005,4,18,21,1.82,7.89,147.15
2005,4,19,0,1.8,7.99,115.66
2005,4,19,3,1.77,7.99,97.01
2005,4,19,6,1.77,7.96,96.81
2005,4,19,9,1.75,7.87,66.12
2005,4,19,12,1.71,7.64,60.83
2005,4,19,15,1.66,7.52,50.83
2005,4,19,18,1.61,7.43,39.92
2005,4,19,21,1.61,7.31,33.27
2005,4,20,0,1.65,7.13,27.22
2005,4,20,3,1.75,6.37,27.87
2005,4,20,6,1.91,6.1,29.12
2005,4,20,9,2.06,6.21,30.51
2005,4,20,12,2.09,6.27,32.08
2005,4,20,15,2.06,6.31,32.31
2005,4,20,18,2.09,6.29,32.41
2005,4,20,21,2.13,6.29,32.95
2005,4,21,0,2.02,6.23,33.78
2005,4,21,3,1.78,6.1,32.07
2005,4,21,6,1.6,5.7,33.06
2005,4,21,9,1.51,5.33,33.21
2005,4,21,12,1.41,5.16,31.94
2005,4,21,15,1.34,5.1,30.9
2005,4,21,18,1.35,4.97,30.72
2005,4,21,21,1.39,5.08,31.25
2005,4,22,0,1.45,5.21,31.48
2005,4,22,3,1.54,8.73,347.55
2005,4,22,6,1.65,8.65,15.7
2005,4,22,9,1.71,8.39,14.47
2005,4,22,12,1.65,8.21,12.76
2005,4,22,15,1.54,8.05,10.99
2005,4,22,18,1.39,7.77,13.65
2005,4,22,21,1.24,7.46,12.05
2005,4,23,0,1.1,7.19,10.39
2005,4,23,3,0.98,6.84,12.72
2005,4,23,6,0.86,6.63,12.17
2005,4,23,9,0.79,6.32,13.83
2005,4,23,12,0.79,6.18,14.11
2005,4,23,15,0.76,11.81,253.8
2005,4,23,18,0.75,11.9,254.58
2005,4,23,21,0.78,16.18,256.81
2005,4,24,0,0.87,15.89,255.73
2005,4,24,3,0.97,15.23,256.29
2005,4,24,6,1.02,14.48,255.65
2005,4,24,9,1.05,13.73,255.43
2005,4,24,12,1.06,13.22,254.89
2005,4,24,15,1.05,12.72,254.64
2005,4,24,18,1.02,12.31,254.39
2005,4,24,21,0.96,12.12,253.89
2005,4,25,0,0.89,11.88,253.55
2005,4,25,3,0.83,11.61,253.32
2005,4,25,6,0.76,11.23,254.1
2005,4,25,9,0.7,10.97,253.77
2005,4,25,12,0.66,10.8,253.5
2005,4,25,15,0.66,10.73,253.56
2005,4,25,18,0.66,10.66,253.77
