YYYY  MM  DD  HH  mn     Hs(m)     Tp(s)  TheH(°N)   WS(m/s)  Thew(°N)
2005   3  13   6   0     5.220    13.130   349.690     8.126   257.708
2005   3  13   9   0     5.200    12.670   349.300     8.181   283.646
2005   3  13  12   0     4.990    12.180   351.610    10.107   284.614
2005   3  13  15   0     4.640    11.990   354.230     8.536   287.734
2005   3  13  18   0     4.270    11.900   357.040     1.981   271.736
2005   3  13  21   0     3.960    11.830   359.340     4.870   281.610
2005   3  14   0   0     3.720    11.760     0.550     7.444   266.457
2005   3  14   3   0     3.570    11.610     1.010     5.363   286.576
2005   3  14   6   0     3.460    11.320     3.220     2.369   315.855
2005   3  14   9   0     3.390    11.130     3.780     3.119   339.938
2005   3  14  12   0     3.390    11.020     3.530     3.994    37.472
2005   3  14  15   0     3.460    10.920     2.640     7.599    14.713
2005   3  14  18   0     3.460    10.790     1.150     7.435    10.070
2005   3  14  21   0     3.380    10.560   359.340     7.562     3.260
2005   3  15   0   0     3.260    10.320     2.750     5.215   346.923
2005   3  15   3   0     3.130    10.210     2.030     3.325   286.963
2005   3  15   6   0     2.990    10.150     0.650     4.599   261.623
2005   3  15   9   0     2.890    10.060   358.790     3.694   253.969
2005   3  15  12   0     2.830     9.950   357.230     3.581   245.940
2005   3  15  15   0     2.770     9.820   356.350     2.180   112.094
2005   3  15  18   0     2.710     9.730   356.090     5.165   106.189
2005   3  15  21   0     2.650     9.710   356.050     6.585   124.607
2005   3  16   0   0     2.580    14.850   257.200     7.672   115.062
2005   3  16   3   0     2.490    14.650   256.850     9.602    98.746
2005   3  16   6   0     2.500     9.720   357.130    10.963    83.400
2005   3  16   9   0     2.520     9.740   358.390    10.587    80.431
2005   3  16  12   0     2.550     9.790   359.430    11.359    81.035
2005   3  16  15   0     2.600     9.820   359.780    11.938    84.858
2005   3  16  18   0     2.750     9.670   359.590    14.900    77.204
2005   3  16  21   0     2.850     9.050     0.030    11.622    64.736
2005   3  17   0   0     3.010     7.280    19.210    14.283    62.251
2005   3  17   3   0     3.170     7.570    21.920    13.944    49.100
2005   3  17   6   0     3.240     7.660    23.980    12.679    45.671
2005   3  17   9   0     3.290     7.630    24.570    12.056    40.189
2005   3  17  12   0     3.280     7.600    25.040    12.286    38.988
2005   3  17  15   0     3.200     7.550    25.560    11.473    40.298
2005   3  17  18   0     3.100     7.470    26.200    12.043    47.153
2005   3  17  21   0     2.940     7.390    24.780    10.346    47.272
2005   3  18   0   0     2.760    15.300   254.590     9.887    59.285
2005   3  18   3   0     2.630    14.670   255.130    10.718    64.702
2005   3  18   6   0     2.650    14.460   255.290    12.560    69.834
2005   3  18   9   0     2.770    14.080   255.510    11.222    64.166
2005   3  18  12   0     2.960    13.690   254.810    11.802    67.324
2005   3  18  15   0     3.200    10.530   347.900     9.274    60.477
2005   3  18  18   0     3.400    10.700   359.820    10.554    63.192
2005   3  18  21   0     3.450    10.630     2.610     9.258    61.553
2005   3  19   0   0     3.340    10.360    10.620     8.858    64.882
2005   3  19   3   0     3.140    10.200     8.710     7.422    64.885
2005   3  19   6   0     2.910    10.090     4.750     5.817    77.087
2005   3  19   9   0     2.700    10.050   356.690     2.203   102.585
2005   3  19  12   0     2.500    11.740   262.230     2.885   203.277
2005   3  19  15   0     2.350    11.730   259.360     4.344   207.863
2005   3  19  18   0     2.310    11.720   258.170     2.632   191.395
2005   3  19  21   0     2.600    11.650   257.230     8.799   210.003
2005   3  20   0   0     2.830     7.070   167.910     8.131   212.341
2005   3  20   3   0     2.850     7.420   169.460     7.634   206.699
2005   3  20   6   0     2.780     7.490   171.260     6.063   195.595
2005   3  20   9   0     2.670     7.470   171.630     6.383   204.236
2005   3  20  12   0     2.520     7.390   171.740     5.305   193.408
2005   3  20  15   0     2.380     7.140   170.430     7.166   189.397
2005   3  20  18   0     2.310     6.930   170.000     8.034   176.646
2005   3  20  21   0     2.250     6.820   169.780     9.010   188.103
2005   3  21   0   0     2.140     6.750   170.010     7.806   188.992
2005   3  21   3   0     2.050     6.620   170.740     7.072   191.501
